geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count
Matagorda,48321,2019,leukemia,~,28.7747601,-96.0015316,~
Maverick,48323,2019,leukemia,~,28.7297873,-100.316678,~
McCulloch,48307,2019,leukemia,~,31.2054766,-99.3598557,~
McLennan,48309,2019,leukemia,10.3,31.5495958,-97.2015108,30
Medina,48325,2019,leukemia,~,29.3536614,-99.1110845,~
Menard,48327,2019,leukemia,~,30.8852677,-99.8588613,~
Midland,48329,2019,leukemia,15.4,31.8142693,-102.0024538,22
Milam,48331,2019,leukemia,~,30.791242,-96.9843946,~
Mills,48333,2019,leukemia,~,31.4948885,-98.5946231,0
Mitchell,48335,2019,leukemia,~,32.3041168,-100.9243924,0
Montague,48337,2019,leukemia,~,33.6783558,-97.7250138,~
Montgomery,48339,2019,leukemia,12.1,30.2988009,-95.50295,78
Moore,48341,2019,leukemia,~,35.8356759,-101.8905018,~
Morris,48343,2019,leukemia,~,33.116466,-94.7312653,~
Motley,48345,2019,leukemia,~,34.0578993,-100.7931519,0
Nacogdoches,48347,2019,leukemia,~,31.6205598,-94.6202497,~
Navarro,48349,2019,leukemia,~,32.0433487,-96.476406,~
