date,wind_speed,wind_direction_degrees
5/20/2020,4.47,205.5
5/21/2020,5.2,160.3
5/22/2020,6.34,160.2
5/23/2020,6.21,154.9
5/24/2020,5.98,133.3
5/25/2020,4.53,156.2
5/26/2020,3.14,253.9
5/27/2020,3.06,236.2
5/28/2020,3.25,171.5
5/29/2020,3.09,20.2
5/30/2020,4.45,77.5
5/31/2020,4.3,77.9
6/1/2020,4.04,85.4
6/2/2020,4.07,116.5
6/3/2020,3.49,150.7
6/4/2020,3.32,180.5
6/5/2020,3.23,153.5
6/6/2020,5.43,39.3
6/7/2020,5.82,9.9
6/8/2020,6.33,239.6
6/9/2020,5.53,192.7
6/10/2020,5,352.2
6/11/2020,4.87,39.9
6/12/2020,6.15,48.7
6/13/2020,5.91,55.2
6/14/2020,4.7,102
6/15/2020,4.23,134.8
6/16/2020,2.85,176.4
6/17/2020,3.17,174.1
6/18/2020,4.76,169.3
6/19/2020,5.27,160
6/20/2020,4.82,179.9
6/21/2020,5.69,187.9
6/22/2020,5.74,182
6/23/2020,4.76,175.5
6/24/2020,4.94,162.7
6/25/2020,5.66,163
6/26/2020,5.44,158.9
6/27/2020,5.31,171
6/28/2020,6.47,171.7
6/29/2020,6.99,172.5
6/30/2020,6.47,181
7/1/2020,6.22,192.8
7/2/2020,4.57,212.1
7/3/2020,3.25,236
7/4/2020,3.07,226.5
7/5/2020,4.43,224.6
7/6/2020,4.31,195.3
7/7/2020,5.02,183.7
7/8/2020,5.63,195.7
7/9/2020,5.42,194.4
7/10/2020,3.92,208.8
7/11/2020,4.11,233.4
7/12/2020,4.5,235.6
7/13/2020,4.5,218.3
7/14/2020,5.42,201.4
7/15/2020,5.28,201.4
7/16/2020,3.45,208.6
7/17/2020,3.57,120
7/18/2020,4.01,137.5
7/19/2020,3.96,112.9
7/20/2020,5.53,88.1
7/21/2020,5.12,130.5
7/22/2020,3.76,130.9
7/23/2020,4.84,66.1
7/24/2020,8.42,72.1
7/25/2020,7.54,106
7/26/2020,5.59,108.6
7/27/2020,3.02,144.4
7/28/2020,3.62,202.4
7/29/2020,4.95,200.1
7/30/2020,5.57,201.6
7/31/2020,6.43,219.7
8/1/2020,3.16,241.5
8/2/2020,2.16,190.4
8/3/2020,3.51,238.3
8/4/2020,4.1,261.1
8/5/2020,2.43,210.9
8/6/2020,2.43,171.1
8/7/2020,2.89,160.1
8/8/2020,3.26,173.6
8/9/2020,4.15,200.2
8/10/2020,4.72,186.6
8/11/2020,4.82,186
8/12/2020,4.77,205.1
8/13/2020,4.47,212.2
8/14/2020,4.96,218.7
8/15/2020,4.23,221.2
8/16/2020,3.43,251.1
8/17/2020,3.77,8.1
8/18/2020,3.25,25.6
8/19/2020,3.17,19.3
8/20/2020,2.59,87.2
8/21/2020,2.46,190.9
8/22/2020,2.31,158.6
8/23/2020,4.28,69.8
8/24/2020,4.87,50.3
8/25/2020,5.42,44.7
8/26/2020,8.8,52.9
8/27/2020,7.53,255.2
8/28/2020,5.91,195.5
8/29/2020,4.57,189.5
8/30/2020,4.56,201.2
8/31/2020,6.16,179
9/1/2020,7.41,180.5
9/2/2020,7.3,189.5
9/3/2020,4.58,182.9
9/4/2020,3.43,111.8
9/5/2020,3.65,42.6
9/6/2020,2.83,86
9/7/2020,2.79,151.4
9/8/2020,4.19,138.3
9/9/2020,4.75,133.1
9/10/2020,3.02,60.5
