geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count,exposure_lag_years,exposure_mean,exposure_rolling12,exposure_max,exposure_exceedances,exposure_wind_weighted,exposure_distance_weighted
Travis,48453,2019,leukemia,13.7,30.2395128,-97.6912697,146.0,5,1.807174573008944,1.6257751881529139,2.0,0.0,1.7397450679986945,1.807174573008944
Webb,48479,2019,leukemia,11.7,27.7607987,-99.3407518,28.0,5,1.8063333659880247,1.6249292217387439,1.6,0.0,1.7389630211501925,1.8063333659880247
Wichita,48485,2019,leukemia,22.8,33.9882125,-98.7080098,32.0,5,1.8084084279697328,1.6268525180810933,3.1,0.0,1.740979286985081,1.8084084279697328
Williamson,48491,2019,leukemia,12.7,30.6490817,-97.6050646,76.0,5,1.8075828806245877,1.6261566170026194,2.0,0.0,1.7401402323479243,1.8075828806245877
Angelina,48005,2020,leukemia,20.8,31.2518963,-94.6111337,21.0,5,1.8139631307619803,1.6321239866658863,210.0,0.0,1.7463129788791956,1.8139631307619803
Bell,48027,2020,leukemia,17.0,31.0370095,-97.4796349,59.0,5,1.8079812036447587,1.6265258180718778,3.1,0.0,1.7405272846097612,1.8079812036447587
Bexar,48029,2020,leukemia,13.9,29.4486708,-98.5201465,272.0,5,1.8066955486546272,1.6253000579268695,1.6,0.0,1.739296181750915,1.8066955486546272
Bowie,48037,2020,leukemia,16.9,33.4460648,-94.422393,21.0,5,1.8100764741918245,1.6283747407630318,210.0,0.0,1.7426129850057865,1.8100764741918245
Brazoria,48039,2020,leukemia,15.2,29.1678175,-95.434647,54.0,5,1.8028997098433697,1.6218594300297504,1.6,0.0,1.735567227624579,1.8028997098433697
Brazos,48041,2020,leukemia,10.5,30.6567132,-96.3023935,21.0,5,1.8082101916222244,1.6268085386372255,3.1,0.0,1.740712508966511,1.8082101916222244
Cameron,48061,2020,leukemia,12.9,26.1029227,-97.4789584,55.0,5,1.8056730516251076,1.6242898114016768,2.6,0.0,1.7383361282782688,1.8056730516251076
Collin,48085,2020,leukemia,16.1,33.1944818,-96.5794285,166.0,5,1.8092386490769032,1.6276391695109433,3.1,0.0,1.7417769307054198,1.8092386490769032
Comal,48091,2020,leukemia,16.3,29.8123773,-98.2581288,39.0,5,1.8068737200942744,1.6254756461550504,1.6,0.0,1.7394637393952241,1.8068737200942744
Dallas,48113,2020,leukemia,15.2,32.7669866,-96.7784238,367.0,5,1.8091655373118312,1.6275845062264376,3.1,0.0,1.7416989103097504,1.8091655373118312
Denton,48123,2020,leukemia,16.7,29.0823457,-97.3616543,138.0,5,1.8059878496903425,1.624661735952999,1.6,0.0,1.7385991969364663,1.8059878496903425
Ector,48135,2020,leukemia,14.1,31.8653008,-102.5425068,21.0,5,1.8075219587265525,1.626023539832779,3.1,0.0,1.7401218193328254,1.8075219587265525
El Paso,48141,2020,leukemia,13.3,31.7664559,-106.2415203,113.0,5,1.8074026360853583,1.6258970928671415,2.0,0.0,1.7400143465586213,1.8074026360853583
Ellis,48139,2020,leukemia,22.6,32.3468783,-96.7969403,44.0,5,1.8091349293319214,1.6275706222782673,3.1,0.0,1.74166146637592,1.8091349293319214
Fort Bend,48157,2020,leukemia,11.0,29.5266017,-95.7710149,87.0,5,1.8046133615936304,1.6234893128573777,1.6,0.0,1.737209968057229,1.8046133615936304
